Country,Power Consumption KWH,Text
Namibia,4238000000,"Namibia 4,238,000,000"
Mongolia,4204000000,"Mongolia 4,204,000,000"
Afghanistan,3893000000,"Afghanistan 3,893,000,000"
Yemen,3838000000,"Yemen 3,838,000,000"
Brunei,3766000000,"Brunei 3,766,000,000"
Cambodia,3553000000,"Cambodia 3,553,000,000"
Montenegro,3465000000,"Montenegro 3,465,000,000"
Nepal,3239000000,"Nepal 3,239,000,000"
Botswana,3213000000,"Botswana 3,213,000,000"
Papua,3116000000,"Papua 3,116,000,000"
Jamaica,3008000000,"Jamaica 3,008,000,000"
Kosovo,2887000000,"Kosovo 2,887,000,000"
Laos,2874000000,"Laos 2,874,000,000"
Uganda,2821000000,"Uganda 2,821,000,000"
New,2716000000,"New 2,716,000,000"
Mauritius,2658000000,"Mauritius 2,658,000,000"
Senegal,2586000000,"Senegal 2,586,000,000"
Bhutan,2085000000,"Bhutan 2,085,000,000"
Malawi,2027000000,"Malawi 2,027,000,000"
Madagascar,1883000000,"Madagascar 1,883,000,000"
"Bahamas,",1716000000,"Bahamas, 1,716,000,000"
Gabon,1680000000,"Gabon 1,680,000,000"
Suriname,1572000000,"Suriname 1,572,000,000"
Guam,1566000000,"Guam 1,566,000,000"
Liechtenstein,1360000000,"Liechtenstein 1,360,000,000"
Swaziland,1295000000,"Swaziland 1,295,000,000"
Burkina,985500000,"Burkina 985,500,000"
Togo,976000000,"Togo 976,000,000"
Curacao,968000000,"Curacao 968,000,000"
Mauritania,962600000,"Mauritania 962,600,000"
Barbados,938000000,"Barbados 938,000,000"
Niger,930200000,"Niger 930,200,000"
Aruba,920700000,"Aruba 920,700,000"
Benin,911000000,"Benin 911,000,000"
Guinea,903000000,"Guinea 903,000,000"
Mali,882600000,"Mali 882,600,000"
Fiji,777600000,"Fiji 777,600,000"
"Congo,",740000000,"Congo, 740,000,000"
Virgin,723500000,"Virgin 723,500,000"
Lesotho,707000000,"Lesotho 707,000,000"
South,694100000,"South 694,100,000"
Bermuda,664200000,"Bermuda 664,200,000"
French,652900000,"French 652,900,000"
Jersey,630100000,"Jersey 630,100,000"
Belize,605000000,"Belize 605,000,000"
Andorra,562400000,"Andorra 562,400,000"
Guyana,558000000,"Guyana 558,000,000"
Cayman,545900000,"Cayman 545,900,000"
Haiti,452000000,"Haiti 452,000,000"
Rwanda,365500000,"Rwanda 365,500,000"
Saint,336400000,"Saint 336,400,000"
Djibouti,311600000,"Djibouti 311,600,000"
Seychelles,293900000,"Seychelles 293,900,000"
Somalia,293000000,"Somalia 293,000,000"
Antigua,293000000,"Antigua 293,000,000"
Greenland,292000000,"Greenland 292,000,000"
Cabo,285500000,"Cabo 285,500,000"
Eritrea,284000000,"Eritrea 284,000,000"
Burundi,282900000,"Burundi 282,900,000"
Liberia,276900000,"Liberia 276,900,000"
Maldives,267100000,"Maldives 267,100,000"
Faroe,261300000,"Faroe 261,300,000"
"Gambia,",218600000,"Gambia, 218,600,000"
Chad,190700000,"Chad 190,700,000"
"Micronesia,",178600000,"Micronesia, 178,600,000"
Grenada,178000000,"Grenada 178,000,000"
Central,168300000,"Central 168,300,000"
Turks,167400000,"Turks 167,400,000"
Gibraltar,160000000,"Gibraltar 160,000,000"
American,146000000,"American 146,000,000"
Sierra,134900000,"Sierra 134,900,000"
Saint,130200000,"Saint 130,200,000"
Saint,127400000,"Saint 127,400,000"
Timor-Leste,125300000,"Timor-Leste 125,300,000"
Equatorial,93000000,"Equatorial 93,000,000"
Samoa,90400000,"Samoa 90,400,000"
Dominica,89750000,"Dominica 89,750,000"
Western,83700000,"Western 83,700,000"
Solomon,79050000,"Solomon 79,050,000"
Sao,60450000,"Sao 60,450,000"
British,51150000,"British 51,150,000"
Vanuatu,49290000,"Vanuatu 49,290,000"
Guinea-Bissau,46500000,"Guinea-Bissau 46,500,000"
Tonga,44640000,"Tonga 44,640,000"
Saint,39990000,"Saint 39,990,000"
Comoros,39990000,"Comoros 39,990,000"
Cook,28950000,"Cook 28,950,000"
Kiribati,24180000,"Kiribati 24,180,000"
Montserrat,23250000,"Montserrat 23,250,000"
Nauru,23250000,"Nauru 23,250,000"
Falkland,11160000,"Falkland 11,160,000"
Saint,7440000,"Saint 7,440,000"
Niue,2790000,"Niue 2,790,000"
Gaza,202000,"Gaza 202,000"
Malta,174700,"Malta 174,700"
Northern,48300,"Northern 48,300"
